titleId;ordering;title;region;language;types;attributes;isOriginalTitle;tconst;titleType;primaryTitle;originalTitle;isAdult;startYear;endYear;runtimeMinutes;genres;averageRating;numVotes;pais
tt4846232;1;Good Time;\N;\N;original;\N;1;tt4846232;movie;Good Time;Good Time;0;2017;\N;102;Crime,Drama,Thriller;7.3;148282;Estados Unidos da América
tt4846340;1;Hidden Figures;\N;\N;original;\N;1;tt4846340;movie;Hidden Figures;Hidden Figures;0;2016;\N;127;Biography,Drama,History;7.8;276743;Estados Unidos da América
tt4857264;1;Contratiempo;\N;\N;original;\N;1;tt4857264;movie;The Invisible Guest;Contratiempo;0;2016;\N;106;Crime,Drama,Mystery;8.0;204189;Espanha
tt4873118;1;The Covenant;\N;\N;original;\N;1;tt4873118;movie;The Covenant;The Covenant;0;2023;\N;123;Action,Drama,Thriller;7.5;192650;Reino Unido, Espanha, Estados Unidos da América
tt4901306;1;Perfetti sconosciuti;\N;\N;original;\N;1;tt4901306;movie;Perfect Strangers;Perfetti sconosciuti;0;2016;\N;96;Comedy,Drama,Thriller;7.7;75035;Itália
tt4912910;1;Mission: Impossible - Fallout;\N;\N;original;\N;1;tt4912910;movie;Mission: Impossible - Fallout;Mission: Impossible - Fallout;0;2018;\N;147;Action,Adventure,Thriller;7.7;404690;Estados Unidos da América, China, França, Noruega
tt4916630;1;Just Mercy;\N;\N;original;\N;1;tt4916630;movie;Just Mercy;Just Mercy;0;2019;\N;137;Biography,Crime,Drama;7.6;80946;Estados Unidos da América
tt4925292;1;Lady Bird;\N;\N;original;\N;1;tt4925292;movie;Lady Bird;Lady Bird;0;2017;\N;94;Comedy,Drama;7.4;353183;Estados Unidos da América
tt4972582;1;Split;\N;\N;original;\N;1;tt4972582;movie;Split;Split;0;2016;\N;117;Horror,Thriller;7.3;595713;Japão, Estados Unidos da América
tt4975722;1;Moonlight;\N;\N;original;\N;1;tt4975722;movie;Moonlight;Moonlight;0;2016;\N;111;Drama;7.4;343377;Estados Unidos da América
tt4995790;1;The Square;\N;\N;original;\N;1;tt4995790;movie;The Square;The Square;0;2017;\N;151;Comedy,Drama;7.1;80853;Suécia, Alemanha, França, Dinamarca, Estados Unidos da América
tt5013056;1;Dunkirk;\N;\N;original;\N;1;tt5013056;movie;Dunkirk;Dunkirk;0;2017;\N;106;Action,Drama,History;7.8;778109;Reino Unido, Países Baixos, França, Estados Unidos da América
tt5027774;1;Three Billboards Outside Ebbing, Missouri;\N;\N;original;\N;1;tt5027774;movie;Three Billboards Outside Ebbing, Missouri;Three Billboards Outside Ebbing, Missouri;0;2017;\N;115;Comedy,Crime,Drama;8.1;586790;Reino Unido, Estados Unidos da América
tt5040012;1;Nosferatu;\N;\N;original;\N;1;tt5040012;movie;Nosferatu;Nosferatu;0;2024;\N;132;Fantasy,Horror,Mystery;7.2;214848;Estados Unidos da América
tt5052448;1;Get Out;\N;\N;original;\N;1;tt5052448;movie;Get Out;Get Out;0;2017;\N;104;Horror,Mystery,Thriller;7.8;766978;Japão, Estados Unidos da América
